id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
1301686,Cool bright spacious SOHO 1 bdrm,7077897,Philip,Manhattan,SoHo,10013,40.72469246,-74.00590872,Entire home/apt,235,5,29,4/23/2015,1.4,1,275,201505
616208,Gorgeous Sunny Studio,26640,Sally,Manhattan,Upper West Side,10024,40.78312012,-73.97464031,Entire home/apt,135,2,30,4/2/2015,0.9,3,301,201505
2507452,Gramercy Apartment,12834127,Kimberly,Manhattan,Kips Bay,10010,40.73879074,-73.98208763,Private room,200,1,0,,,1,365,201505
2686710,UWS Brownstone Apt W 73rd,4586276,Kate,Manhattan,Upper West Side,10023,40.77868524,-73.97686578,Entire home/apt,190,2,1,5/4/2014,0.1,1,177,201505
787968,Cozy and Spacious Living Uptown,4153386,Daniel,Manhattan,Harlem,10031,40.81980371,-73.9459085,Entire home/apt,140,7,1,1/5/2013,0,1,365,201505
631472,Cozy Upper East Side Escape in NYC,9450663,Judith,Manhattan,Upper East Side,10128,40.78113768,-73.95365328,Entire home/apt,150,2,6,4/5/2015,0.2,1,200,201505
769857,Comfy & Spacious 1br Pad Uptown!,4061620,John,Manhattan,Harlem,10037,40.81951452,-73.93672161,Entire home/apt,149,2,22,10/1/2014,0.9,1,363,201505
270255,Breathtaking View UWS Mas.Bedroom  ,1415008,Linda,Manhattan,Upper West Side,10025,40.79095993,-73.96672147,Private room,120,3,129,4/20/2015,3.1,1,259,201505
4426156,One private bedroom available ,3772689,Brody,Manhattan,Lower East Side,10002,40.71851137,-73.99361624,Private room,150,1,0,,,1,365,201505
6179139,Beautiful 2 Bed East Village Apt,2407821,Susan,Manhattan,East Village,10009,40.72724917,-73.9789245,Entire home/apt,299,1,0,,,1,7,201505
4946932,"Quiet Greenpoint 1BR, park view!",2809928,Oscar,Brooklyn,Greenpoint,11222,40.72411184,-73.94515851,Entire home/apt,100,1,1,1/19/2015,0.3,1,243,201505
5511765,Spacious room in Astoria,4143691,Nina,Queens,Astoria,11103,40.76209535,-73.91265991,Private room,70,1,0,,,1,329,201505
310325,Large Sunny Bedroom with Bay Window,745069,Kimberly,Manhattan,Harlem,10030,40.82285718,-73.94595618,Private room,78,1,13,1/2/2015,0.4,2,365,201505
476851,Amazing 1BR West Village NYC,558502,Annika & Karl,Manhattan,Chelsea,10014,40.74097731,-74.00157872,Entire home/apt,295,5,10,4/1/2015,0.3,1,169,201505
6085252,yoga house,22407426,Pukar,Queens,Elmhurst,11373,40.74390129,-73.86904861,Private room,99,1,0,,,1,365,201505
840667,Amazing Greenwich Village w pool,4390058,Jeffrey,Manhattan,Greenwich Village,10003,40.73075348,-73.99265469,Entire home/apt,349,3,9,10/19/2014,0.3,1,365,201505
480750,Prime Location Midtown Studio Deal,2380673,Ray,Manhattan,Theater District,10036,40.75869626,-73.98160936,Entire home/apt,100,1,100,4/12/2015,2.8,1,292,201505
5212948,Great 1BR Bklyn Apt Near Park/Train,6422903,Hussain,Brooklyn,Crown Heights,11233,40.66982148,-73.92396188,Entire home/apt,70,1,0,,,1,66,201505
1950864,2 bedroom in financial district,10088545,Marianne,Manhattan,Financial District,10005,40.70550225,-74.01022363,Entire home/apt,195,2,15,4/22/2015,0.9,1,337,201505
4846411,Spacious 3BR Duplex in heart of NYC,811262,Kyle,Manhattan,Greenwich Village,10003,40.73296711,-73.99421124,Entire home/apt,350,2,0,,,1,26,201505
1053618,Immaculate 1 bed in Upper West Side,5300359,Daniel,Manhattan,Upper West Side,10024,40.78939255,-73.97304726,Entire home/apt,245,10,8,1/3/2015,0.3,1,120,201505
4098302,Two Bedroom Right in Times Square!,21256853,Mary,Manhattan,Hell's Kitchen,10036,40.75817636,-73.99172615,Entire home/apt,271,1,22,4/14/2015,3,2,227,201505
4455138,Sunny high-rise awesome views,1366752,Peter,Manhattan,Upper East Side,10128,40.78339582,-73.95171774,Private room,200,1,0,,,1,365,201505
5066357,Master Bedroom w/ private Bathroom ,26161924,Jose,Queens,Maspeth,11378,40.72724509,-73.89814356,Private room,75,1,0,,,1,365,201505
