id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
12155998,Newly renovated Modern 2 and 1/2 BD,24084263,Marco,Queens,Ditmars Steinway,11105,40.77069663,-73.89930882,Entire home/apt,120,5,8,1/15/2017,0.98,2,259,201702
4376618,Beautiful Room For Rent in Astoria ,20828747,Katerina,Queens,Ditmars Steinway,11105,40.77726719,-73.90857975,Private room,45,1,84,1/24/2017,3.05,8,361,201702
11192104,Charming Cozy Master Room @ Ditmars,58258354,Angelia,Queens,Ditmars Steinway,11102,40.77170914,-73.91526332,Private room,75,1,0,,,1,0,201702
5805232,Comfortable room near everything,3974808,Noah,Queens,Ditmars Steinway,11105,40.77802965,-73.91452016,Private room,150,1,0,,,1,0,201702
2836845,Old World Elegance in Astoria!,10987233,Anastasia,Queens,Ditmars Steinway,11105,40.77322986,-73.91709396,Entire home/apt,160,2,101,1/6/2017,3.01,1,304,201702
15581667,Astoria Diamond,25079418,Najmah,Queens,Ditmars Steinway,11102,40.77998968,-73.92006848,Entire home/apt,75,3,7,1/16/2017,2.33,1,62,201702
4772987,Queen size bedroom. 15 min to NYC,24597265,Freda,Queens,Ditmars Steinway,11105,40.77154772,-73.90932659,Private room,55,5,12,12/27/2016,0.57,8,365,201702
6472275,"Cozy,newly furnished room inAstoria",24597265,Freda,Queens,Ditmars Steinway,11105,40.77079637,-73.91083692,Private room,45,5,3,5/6/2016,0.18,8,351,201702
1940906,Lovely Astoria Apartment!,10038884,Karim,Queens,Ditmars Steinway,11105,40.7730221,-73.90307452,Entire home/apt,100,60,5,8/21/2014,0.13,1,238,201702
13676889,The Astorian's Artist Pad,17247848,Kevin,Queens,Ditmars Steinway,11105,40.77630219,-73.90941374,Private room,50,1,18,1/15/2017,3.27,1,53,201702
4169094,"Private Room in 2BR amazing Location (quiet,sunny)",21634948,Monika,Queens,Ditmars Steinway,11102,40.77294908,-73.91649784,Private room,80,3,9,9/5/2016,0.35,1,365,201702
13889399,Great 3 Bedroom Apt  Near Manhatthen,75919970,Scott,Queens,Ditmars Steinway,11105,40.77419929,-73.91746037,Entire home/apt,125,1,1,7/25/2016,0.15,1,0,201702
8741446,"Clean, inviting apt.15min to NYC",24597265,Freda,Queens,Ditmars Steinway,11105,40.77067168,-73.910114,Entire home/apt,180,5,16,1/2/2017,1.2,8,258,201702
13543975,Homey 1 Bed Hideaway in Astoria,76801764,Emily,Queens,Ditmars Steinway,11105,40.77392244,-73.9189159,Entire home/apt,75,2,2,7/11/2016,,1,0,201702
16231738,Cozy 2BD Apartment - 10 Minutes to Manhattan!,106069003,Dan,Queens,Ditmars Steinway,11105,40.77611408,-73.91114738,Entire home/apt,100,1,0,,,1,365,201702
764052,1 Bedroom Apartment in quiet area.,2618273,Sabrina,Queens,Ditmars Steinway,11105,40.77508569,-73.91907253,Entire home/apt,390,3,1,12/27/2016,0.77,1,17,201702
8365172,BEST Location in Heart of Astoria!!,44089351,Cristiano,Queens,Ditmars Steinway,11105,40.77597895,-73.90877701,Private room,45,1,76,1/30/2017,4.53,1,347,201702
16885587,LUX 2BR 2BALCONY Sleeps10 w/RoofTop,17519107,Jada,Queens,Ditmars Steinway,11103,40.77022475,-73.91347528,Entire home/apt,220,1,0,,,1,352,201702
16707621,NYC! Cozy 1 Bd Apartment in Astoria,55404200,Niko &,Queens,Ditmars Steinway,11105,40.77321798,-73.9119942,Entire home/apt,95,1,0,,,1,35,201702
3383516,Great room with private bathroom,17070449,Jon,Queens,Ditmars Steinway,11105,40.77459463,-73.91474301,Private room,70,3,5,11/7/2015,0.16,2,365,201702
11641041,3 Bedrooms - Spacious & Close to Subway!,7693749,Evan,Queens,Ditmars Steinway,11105,40.77134588,-73.91235176,Entire home/apt,148,6,35,1/14/2017,3.57,2,82,201702
3644017,Cute & cozy room in Astoria,5909599,Danica,Queens,Ditmars Steinway,11105,40.77698966,-73.91555612,Private room,100,1,17,1/1/2017,0.55,2,365,201702
17013704,"Brand new, spacious 1BR in Astoria",114070032,Julie,Queens,Ditmars Steinway,11105,40.77941547,-73.91355546,Private room,50,1,0,,,1,19,201702
15899509,Beautiful 1 bedroom apartment,83542652,Roger,Queens,Ditmars Steinway,11105,40.78033297,-73.91658394,Entire home/apt,89,4,3,2/1/2017,1.58,1,90,201702
3250448,Clean and Modern Apartment in Calm Area.,16441089,Juan,Queens,Ditmars Steinway,11102,40.77694159,-73.92698654,Entire home/apt,125,2,93,1/15/2017,2.98,1,118,201702
13492036,"Beautiful 1 bedroom in Astoria,Queens",77325010,Petros,Queens,Ditmars Steinway,11105,40.77233689,-73.90971722,Entire home/apt,75,4,1,7/31/2016,0.16,1,0,201702
15896449,Sunny and spacious room,80851500,Milena,Queens,Ditmars Steinway,11106,40.77014505,-73.91198226,Private room,100,14,0,,,2,363,201702
15437290,Luxe 2 Bedroom 2 bath comfy quiet,25144266,Therina,Queens,Ditmars Steinway,11105,40.77032683,-73.90611054,Entire home/apt,199,1,25,1/29/2017,6.76,4,343,201702
12685531,Ground Floor studio-16min Manhattan,52467013,Laura Anthony,Queens,Ditmars Steinway,11105,40.77395352,-73.9099356,Entire home/apt,95,2,38,1/30/2017,4.54,4,312,201702
12423371,Private Basement Studio in Astoria,32143067,Luis,Queens,Ditmars Steinway,11105,40.78045744,-73.91640543,Private room,70,2,29,11/27/2016,3.23,1,148,201702
7168652,5 mins to LaGuardia/30 to Manhattan,37546754,Anya,Queens,Ditmars Steinway,11370,40.77102066,-73.89246622,Private room,85,1,10,10/9/2015,0.53,1,365,201702
1063678,Private Bedroom-15min to Manhattan,5855145,Edward,Queens,Ditmars Steinway,11105,40.77603582,-73.90941193,Private room,40,1,5,5/7/2016,0.12,4,365,201702
12147125,Beautiful & spacious 2-bedroom Astoria retreat,24822059,Jessica,Queens,Ditmars Steinway,11105,40.77822273,-73.90626747,Entire home/apt,130,2,3,9/6/2016,0.32,2,0,201702
11098211,Lovely warm place in New York City,57635479,Marina&Zack,Queens,Ditmars Steinway,11105,40.77608273,-73.90984929,Private room,68,3,1,11/28/2016,0.44,1,364,201702
7557546,Charming 2bdrm Minutes to Manhattan,9443343,Roula,Queens,Ditmars Steinway,11105,40.7772737,-73.92062062,Entire home/apt,112,5,29,1/19/2017,1.7,1,243,201702
6441936,Clean and Comfortable Home 15 mins to Central Park,15379575,Jim,Queens,Ditmars Steinway,11105,40.7774592,-73.90611351,Private room,84,2,20,1/3/2017,1.16,1,50,201702
5328633,Beautiful Spacious Home in New York,24323308,Ricardo,Queens,Ditmars Steinway,11105,40.77407734,-73.90413894,Entire home/apt,225,3,53,1/2/2017,2.68,1,281,201702
8079482,Great apartment on lovely street,29155779,Andreas,Queens,Ditmars Steinway,11105,40.77078529,-73.90109512,Entire home/apt,130,1,31,1/4/2017,1.93,1,365,201702
3229157,Apartment New York City Astoria,7741224,Dima,Queens,Ditmars Steinway,11105,40.77970456,-73.91489664,Entire home/apt,90,3,4,1/2/2016,0.13,1,0,201702
16860045,2 bedroom close to nyc,97127885,Concetta,Queens,Ditmars Steinway,11370,40.76967797,-73.89550418,Entire home/apt,46,9,2,1/22/2017,2,1,280,201702
4211510,Clean Astoria Room 20minToManhattan,1172202,Funda,Queens,Ditmars Steinway,11105,40.77063801,-73.90792048,Private room,50,1,43,12/30/2016,1.6,6,164,201702
8209746,CHARMING SPACE IN ASTORIA - NY,25934467,Levi,Queens,Ditmars Steinway,11105,40.77549279,-73.90858965,Entire home/apt,200,5,0,,,1,363,201702
16465775,Simple private basement apartment in Astoria,24158518,Ayse,Queens,Ditmars Steinway,11105,40.78210245,-73.91822143,Entire home/apt,170,1,1,1/1/2017,0.88,1,339,201702
12814991,Skyline View From Every Room,34034047,Cory,Queens,Ditmars Steinway,11105,40.7741899,-73.90732467,Entire home/apt,150,2,10,12/30/2016,1.2,1,16,201702
4710310,GREAT ROOM IN ASTORIA QUEENS,24344136,Steffany,Queens,Ditmars Steinway,11105,40.7695054,-73.90811847,Private room,70,5,0,,,1,0,201702
2440357,"New construction, close to subway",12474702,Andrew,Queens,Ditmars Steinway,11105,40.77666632,-73.91303686,Entire home/apt,180,5,1,12/16/2015,0.07,1,0,201702
57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,11105,40.77210776,-73.90585259,Entire home/apt,140,2,11,11/14/2016,0.15,1,265,201702
15283795,"City Life, Suburban Charm & A Slice of Paradise",9146358,Vanessa,Queens,Ditmars Steinway,11105,40.7798572,-73.91784811,Entire home/apt,190,3,3,12/31/2016,0.81,1,362,201702
2896760,"Safe, cozy & minutes to NYC",3339701,Angelo,Queens,Ditmars Steinway,11105,40.77452718,-73.91887128,Private room,60,1,89,1/10/2017,2.65,4,298,201702
7418871,1 Bdrm available in a 2 bdrm.  Bath w/tub. Cat.,38862694,Sarah,Queens,Ditmars Steinway,11105,40.77123118,-73.90735613,Entire home/apt,65,1,2,12/28/2016,0.43,1,327,201702
12956315,Spacious Astoria 2BR: 20min to city,5226800,Katie,Queens,Ditmars Steinway,11102,40.77209343,-73.91682903,Entire home/apt,100,2,0,,,1,0,201702
13055480,Gorgeous Sunny Apartment in Astoria,243275,Julien,Queens,Ditmars Steinway,11102,40.7730532,-73.91700602,Entire home/apt,110,3,3,11/28/2016,0.41,1,64,201702
7679091,Cozy home 5 mins from LGA AIRPORT,40326136,Kamal,Queens,Ditmars Steinway,11370,40.77242189,-73.89049484,Private room,137,1,24,1/5/2017,1.35,2,365,201702
15759255,Subway @ Corner 15 Min. To Manhattan,2350326,Ero,Queens,Ditmars Steinway,11105,40.77707668,-73.91243023,Private room,42,5,0,,,2,26,201702
15758968,15 Minutes to Manhattan,2350326,Ero,Queens,Ditmars Steinway,11105,40.7785851,-73.91211523,Private room,52,1,1,1/2/2017,0.91,2,26,201702
13202799,Adorable Astoria Room Fit for a Queen!,5402234,Maya,Queens,Ditmars Steinway,11105,40.7737898,-73.9157467,Private room,65,2,0,,,1,0,201702
5992686,Private Turquoise Room in Astoria,11050098,Xiaoyan(晓燕),Queens,Ditmars Steinway,11105,40.76855911,-73.90120383,Private room,40,1,143,1/10/2017,6.56,3,359,201702
3043548,Pravate 1 bedroom apartment,5871260,Inna,Queens,Ditmars Steinway,11105,40.77388199,-73.9018733,Entire home/apt,100,3,9,10/29/2016,0.29,1,0,201702
14120188,Charming courtyard apartment!,67130986,Molly,Queens,Ditmars Steinway,11105,40.77592642,-73.90620787,Private room,107,1,2,12/26/2016,0.39,1,364,201702
4550494,"1BR Quiet, Convenient, SPACE",785283,Melinda,Queens,Ditmars Steinway,11105,40.77616438,-73.91701708,Entire home/apt,120,2,9,5/25/2016,0.34,1,34,201702
2156498,Cozy one bedroom in Astoria!,11005542,Tommy,Queens,Ditmars Steinway,11105,40.77730859,-73.90903371,Entire home/apt,65,3,5,1/2/2017,2.38,1,85,201702
13101001,"Medium, Sunny, Quiet private room",50826382,Esen,Queens,Ditmars Steinway,11105,40.77703645,-73.9078317,Private room,70,3,3,1/2/2017,0.59,1,323,201702
5466955,Astoria high line,28018723,Red,Queens,Ditmars Steinway,11105,40.7746138,-73.90805078,Entire home/apt,110,1,4,1/1/2017,0.5,1,364,201702
5728500,Cozy Private Room in Astoria,23185328,Deniz,Queens,Ditmars Steinway,11105,40.7780442,-73.90953353,Private room,58,1,34,1/23/2017,1.53,1,186,201702
3499016,House 1 Bed $100/ night per person,17618198,Edvaldo,Queens,Ditmars Steinway,11105,40.7783395,-73.90709667,Private room,100,2,2,9/22/2014,0.07,1,339,201702
11624694,Newly Furnished 1BD Near Train!,2666654,Frankie,Queens,Ditmars Steinway,11105,40.77560585,-73.90747601,Entire home/apt,120,1,61,1/29/2017,6.1,1,325,201702
13575399,Astoria blvd clean cute resting haven,4983814,Katelynn,Queens,Ditmars Steinway,11102,40.77285557,-73.91823322,Private room,50,1,0,,,2,0,201702
